Name of Borough,Name of Center,Center Address,Postcode,Telephone Number,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA,Borough
Brooklyn,Sunset Park Family Health Center Family Physician Family Health Center,5616 6th Avenue,11220,(718) 439-5440 ,40.640272,-74.011772,7,38,102,3015404,3008400043,Sunset Park East                                                           ,Brooklyn
Brooklyn,Sunset Park Family Health Center Park Ridge Family Health Center,6317 4th Avenue,11220,(718) 907-8100 ,40.638987,-74.02034,7,38,122,3144058,3058090003,Sunset Park West                                                           ,Brooklyn
Brooklyn,Sunset Park Family Health Center,220 13th Street,11215,(718) 832-5980 ,40.667602,-73.990051,6,39,141,3339179,3010340068,Park Slope-Gowanus                                                         ,Brooklyn
Brooklyn,Sunset Park Family Health Center,9000 Shore Road,11209,(718) 630-8878 ,40.622093,-74.040244,10,43,5201,3322532,3060780010,Bay Ridge                                                                  ,Brooklyn
Brooklyn,Sunset Park Family Health Center,514 49th Street,11220,(718) 854-1851 ,40.645329,-74.009193,7,38,98,3012967,3007840010,Sunset Park East                                                           ,Brooklyn
Manhattan,Betances Health Center,280 Henry Street,10002,(212) 227-8408 ,40.71395,-73.983537,3,2,202,1003220,1002670010,Lower East Side                                                            ,Manhattan
Manhattan,Boriken Neighborhood Health Center,2253 Third Avenue,10035,(212) 289-6650 ,40.802079,-73.936989,11,8,194,1054626,1017870001,East Harlem North                                                          ,Manhattan
Manhattan,Callen-Lorde Community Health Center,356 West 18th Street,10011,(212) 271-7200 ,40.742905,-74.00227,4,3,83,1013088,1007410063,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,Manhattan
Manhattan,Charles B. Wang Community Health Center,268 Canal Street,10013,(212) 379-6988 ,40.718834,-74.001111,1,1,31,1002344,1001960013,SoHo-TriBeCa-Civic Center-Little Italy                                     ,Manhattan
Manhattan,Community Health Care Network,79 Madison Avenue,10016,(212) 366-4500 ,40.744096,-73.985619,5,2,74,1016900,1008580022,Midtown-Midtown South                                                      ,Manhattan
Manhattan,Heritage Health Care,1727 Amsterdam Avenue,10031,(212) 862-0054 ,40.825507,-73.947395,9,7,231,1061339,1020600001,Hamilton Heights                                                           ,Manhattan
Manhattan,Institute for Urban Family Health,16 East 16th Street,10003,(212) 633-0800 ,40.737122,-73.99218,5,2,52,1016077,1008430039,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,Manhattan
Manhattan,Ryan/Chelsea-Clinton Community Health Center,645 Tenth Avenue,10036,(212) 265-4500 ,40.761929,-73.993809,4,3,129,1085777,1010747502,Clinton                                                                    ,Manhattan
Manhattan,Settlement Health & Medical Services,212 East 106th Street,10029,(212) 360-2661,40.791342,-73.944161,11,8,170,1087874,1016550007,East Harlem South                                                          ,Manhattan
Manhattan,William F. Ryan Community Health Center,110 West 97th Street,10025,(212) 316-7906 ,40.79381,-73.967655,7,7,181,1079308,1018517501,Upper West Side                                                            ,Manhattan
Queens,Charles B. Wang Community Health Center,136-26 37th Ave - 2nd Fl,11345,(718) 886-1200 ,,,,,,,,,Queens
Queens,Community Health Care Network,97-04 Sutphin Blvd,11435,(718) 657-7088,40.697162,-73.805689,12,28,208,4214585,4100300006,Jamaica                                                                    ,Queens
Queens,The Floating Hospital,41-40 27th Street,11101,(718) 784-2240,40.751296,-73.938824,1,26,33,4005006,4004150004,Queensbridge-Ravenswood-Long Island City                                   ,Queens
Queens,Joseph P. Addabbo Family Health Center,6200 Beach Channel Drive,11692,(718) 634-2155 ,40.593126,-73.7916,14,31,964,4302404,4160150001,Hammels-Arverne-Edgemere                                                   ,Queens
Queens,Project Samaritan Health Services /,137-50 Jamaica Avenue,11435,(718) 298-5100 ,40.702483,-73.815227,12,24,212,4213644,4099700019,Jamaica                                                                    ,Queens
Staten Island,Staten Island ,235 Port Richmond Avenue,10302,(718) 876-1732,40.635621,-74.135021,1,49,207,5024241,5010350001,Port Richmond                                                              ,Staten Island
